codeCIS;codeSubstance;dosage;referenceDosage
60082895;57854;3CH à 30CH et 5DH à 60DH;un stylo injecteur prérempli de 0,25 mL de solution
60082895;57854;3CH à 30CH et 5DH à 60DH;un stylo injecteur prérempli de 0,25 mL de solution
60082895;57854;3CH à 30CH et 5DH à 60DH  (pommade à 4%);un stylo injecteur prérempli de 0,25 mL de solution
60082895;57854;3CH à 30CH et 5DH à 60DH;un stylo injecteur prérempli de 0,25 mL de solution
60082895;57854;3CH à 30CH et 5DH à 60DH;un stylo injecteur prérempli de 0,25 mL de solution
60082895;57854;3CH à 30CH et 5DH à 60DH;un stylo injecteur prérempli de 0,25 mL de solution
60083132;17723;10 mg;un comprimé
60084049;99868;1 mg;un flacon
60085553;95484;10 mg;un comprimé
60088834;332;250 mg (6 DH);un récipient unidose de 1 mL
60088834;893;250 mg (4 DH);un récipient unidose de 1 mL
60088834;96544;250 mg (20 DH);un récipient unidose de 1 mL
60088834;96544;250 mg (8 DH);un récipient unidose de 1 mL
60089217;47903;25 mg;1 ml de solution
60091086;2202;500 mg;une gélule
60092590;3885;250 mg;un comprimé
60092590;4090;25 mg;un comprimé
60092590;11448;27 mg;un comprimé
60092811;6197;11,25 mg;une unité de prise
60092811;48674;15 mg;une unité de prise
60093639;35876;9,121 mg;un comprimé
60093639;62155;8 mg;un comprimé
60094125;70833;0,5 mg;une gélule
60095056;2045;0,100 g;100 g de pâte
60095095;1;2 mg;une capsule
60095095;76119;1,86 mg;une capsule
60095526;39196;10,0 mg;un comprimé
60095729;38315;3000 U.CEIP;un comprimé
60097203;73208;10 mg;un comprimé
60097833;614;0,05 g;100 g
60099738;5248;500 mg;un comprimé
60099738;93286;62,5 mg;un comprimé
60100877;22466;0,56 g;100 ml
60100877;36349;0,50 g;100 ml
60101299;52080;3CH à 30CH et 6DH à 60DH;100 ml
60101406;5248;1000 mg;un comprimé
60104893;65703;2CH à 30CH et 4DH à 60DH (crème à 4 %);un comprimé
60104893;65703;2CH à 30CH et 4DH à 60DH;un comprimé
60104893;65703;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé
60104893;65703;2CH à 30CH et 4DH à 60DH;un comprimé
60104893;65703;2CH à 30CH et 4DH à 60DH;un comprimé
60105162;16849;600 mg;un comprimé
60105568;83934;10 mg;1 mL de solution
60106606;80439;250 UI;une seringue préremplie
60106848;1807;0,02 mg;un comprimé
60106848;18867;3 mg;un comprimé
60106862;31416;300 mg;un comprimé
60106862;39727;5 mg;un comprimé
60107747;688;16,7 g;100 g
60107747;690;16,7 g;100 g
60107932;4204;162 mg;une gélule
60108518;5087;20 mg;une gélule
60108518;46704;17,93 mg;une gélule
60108678;32925;281,25 mg;un comprimé
60108678;72481;250 mg;un comprimé
60108870;21053;50 mg;un comprimé
60109100;915;200 mg;une gélule
60109303;6825;2 g;100 g de pommade
60110031;4401;100 ml;100 ml de solution pour préparation injectable
60110896;76589;0,5 mg;un comprimé
60111101;3984;5 mg;un comprimé
60111101;20879;470 mg;un comprimé
60111101;94881;48 mg;un comprimé
60111197;25715;800 mg;un comprimé
60111471;93657;4 mg;1 mL de suspension
60111603;9012;2CH à 30CH et 4DH à 60DH (crème à 4 %);1 mL de suspension
60111603;9012;2CH à 30CH et 4DH à 60DH;1 mL de suspension
60111603;9012;2CH à 30CH et 4DH à 60DH;1 mL de suspension
60111603;9012;2CH à 30CH et 4DH à 60DH;1 mL de suspension
60111813;3682;20 mg;un comprimé
60113814;19809;80 mg;un comprimé
60113814;92464;86,76 mg;un comprimé
60114485;47950;4CH à 30CH et 8DH à 60DH;un comprimé
60114485;47950;4CH à 30CH et 8DH à 60DH;un comprimé
60114485;47950;4CH à 30CH et 8DH à 60DH (pommade à 4 %);un comprimé
60114485;47950;4CH à 30CH et 8DH à 60DH;un comprimé
60114485;47950;4CH à 30CH et 8DH à 60DH;un comprimé
60114485;47950;4CH à 30CH et 8DH à 60DH;un comprimé
60116447;71861;1 mg;un comprimé
60116810;819;0,625 mg;un comprimé
60116810;52431;1,6975 mg;un comprimé
60116810;69916;2,50 mg;un comprimé
60117638;3613;3CH à 30CH et 6DH à 60DH;un comprimé
60117638;3613;3CH à 30CH et 6DH à 60DH;un comprimé
60117638;3613;3CH à 30CH et 6DH à 60DH (pommade à 1 %, 4 % ou 10 %);un comprimé
60117638;3613;3CH à 30CH et 6DH à 60DH;un comprimé
60117638;3613;3CH à 30CH et 6DH à 60DH;un comprimé
60117638;3613;3CH à 30CH et 6DH à 60DH;un comprimé
60118715;2171;1 mg;un comprimé
60118971;199;100 mg;un comprimé
60120666;3082;0,45 mg;un comprimé
60120666;23014;20 mg;un comprimé
60120666;46448;22,56 mg;un comprimé
60120709;1097;200,00 mg;un comprimé
60120812;20915;20 mg;1 mL de solution
60120812;73952;17,33 mg;1 mL de solution
60121234;84273;4CH à 30CH et 8DH à 60DH;1 mL de solution
60121234;84273;4CH à 30CH et 8DH à 60DH;1 mL de solution
60121234;84273;4CH à 30CH et 8DH à 60DH (pommade à 4 %);1 mL de solution
60121234;84273;4CH à 30CH et 8DH à 60DH;1 mL de solution
60121234;84273;4CH à 30CH et 8DH à 60DH;1 mL de solution
60121234;84273;4CH à 30CH et 8DH à 60DH;1 mL de solution
60122628;73594;8 mg;un comprimé
60122699;87487;90 mg;un comprimé
60122717;55721;2,4 g;un sachet
60123363;32743;5 mg;un comprimé
60123598;2134;4CH à 30CH et 8DH à 60DH;un comprimé
60123598;2134;4CH à 30CH et 8DH à 60DH;un comprimé
60123598;2134;4CH à 30CH et 8DH à 60DH (pommade à 4 %);un comprimé
60123598;2134;4CH à 30CH et 8DH à 60DH;un comprimé
60123598;2134;4CH à 30CH et 8DH à 60DH;un comprimé
60123598;2134;4CH à 30CH et 8DH à 60DH;un comprimé
60123979;823;2,5 g;100 g de gel
60124020;27179;2 mg;1 ml
60124472;9586;4 mg;un comprimé
60124472;39727;10 mg;un comprimé
60124472;52431;3,3 mg;un comprimé
60124472;93748;13,870 mg;un comprimé
60124999;54693;75 mg;un comprimé
60125332;50159;2CH à 30CH et 4DH à 60DH;un comprimé
60125332;50159;2CH à 30CH et 4DH à 60DH;un comprimé
60125332;50159;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé
60125332;50159;2CH à 30CH et 4DH à 60DH;un comprimé
60125332;50159;2CH à 30CH et 4DH à 60DH;un comprimé
60125332;50159;2CH à 30CH et 4DH à 60DH;un comprimé
60125777;5760;146,400 mg;un comprimé
60125777;8846;100 mg;un comprimé
60126377;25715;5 g;100 g de crème
60126594;17723;5 mg;un comprimé
60126612;258;4 DH 5 mg;un comprimé
60126612;1397;4 DH 5 mg;un comprimé
60126612;1851;6 DH 5 mg;un comprimé
60126612;3613;4 DH 5 mg;un comprimé
60126612;6427;4 DH 5 mg;un comprimé
60126612;9029;8 DH 5 mg;un comprimé
60126612;11843;6 DH 5 mg;un comprimé
60126612;24551;4 DH 5 mg;un comprimé
60126612;25643;8 DH 5 mg;un comprimé
60126982;32050;5 mg;un comprimé
60126982;72550;3,8 mg;un comprimé
60127671;2969;300 mg;une capsule
60127671;4309;4 mg;une capsule
60128339;32050;10 mg;un comprimé
60128339;72550;7,5 mg;un comprimé
60129665;2092;400 mg;un comprimé
60129957;2345;17,5 mg;un stylo prérempli de 0,35 ml de solution
60130062;4179;100 microgrammes;une dose mesurée
60130062;30613;6 microgrammes;une dose mesurée
60130354;19514;qsp 100 ml;une dose mesurée
60130386;129;0,100 g;100 g de pommade
60130386;234;0,984 g;100 g de pommade
60130386;663;5,905 g;100 g de pommade
60130386;929;14,763 g;100 g de pommade
60130386;5434;1,474 g;100 g de pommade
60130742;3339;200 mg;un comprimé
60130906;48528;50 mg;un comprimé
60131132;20740;50 mg;un comprimé
60131805;83934;2 mg;1 ml de solution injectable
60132330;95609;100 mg;1 ml
60132572;532;0,690 g;un suppositoire
60132654;58134;4CH à 30CH et 7DH à 60DH;un suppositoire
60132654;58134;4CH à 30CH et 7DH à 60DH;un suppositoire
60132654;58134;4CH à 30CH et 7DH à 60DH (pommade à 4 %);un suppositoire
60132654;58134;4CH à 30CH et 7DH à 60DH;un suppositoire
60132654;58134;4CH à 30CH et 7DH à 60DH;un suppositoire
60132654;58134;4CH à 30CH et 7DH à 60DH;un suppositoire
60132743;9122;200 mg;un flacon
60133432;3229;30 mg;un comprimé
60133973;66494;0,4 mg;une gélule
60135981;81904;0,3 mg;1 ml
60136275;8960;2CH à 30CH et 4DH à 60DH;1 ml
60136275;8960;2CH à 30CH et 4DH à 60DH;1 ml
60136275;8960;2CH à 30CH et 4DH à 60DH (pommade à 4 %);1 ml
60136275;8960;2CH à 30CH et 4DH à 60DH;1 ml
60136275;8960;2CH à 30CH et 4DH à 60DH;1 ml
60136275;8960;2CH à 30CH et 4DH à 60DH;1 ml
60136439;96835;15 mg;un comprimé
60137021;25681;10 mg;1 mL de solution
60139257;93657;100 mg;une gélule
60139563;89971;5 mg;un comprimé
60140010;47372;50 mg;un flacon
60140882;96835;10 mg;un comprimé
60141614;89276;120 mg;un comprimé
60142043;2064;25 mg;un comprimé
60142043;48528;100 mg;un comprimé
60143654;56421;150 mg;un comprimé
60144464;62155;4 mg;un comprimé
60145580;10171;20 mg;un comprimé
60145801;38524;20 mg;un comprimé
60145801;67373;22,55 mg;un comprimé
60148167;85873;20 mg;1 ml
60148893;76541;1000 mg;un comprimé
60149276;4278;3 mg;1 ml
60150015;62468;1,1 g;1 ml de liquide
60150232;78578;4 g;un flacon
60150435;900;3CH à 30CH et 5DH à 60DH;un flacon
60150435;900;3CH à 30CH et 5DH à 60DH;un flacon
60150435;900;3CH à 30CH et 5DH à 60DH (pommade à 1 %, 4 % ou 10 %);un flacon
60150435;900;3CH à 30CH et 5DH à 60DH;un flacon
60150435;900;3CH à 30CH et 5DH à 60DH;un flacon
60150435;900;3CH à 30CH et 5DH à 60DH;un flacon
60150467;33803;5 mg;un comprimé
60150467;70320;4,56 mg;un comprimé
60150638;27775;900 mg;un flacon de 3 mL
60150830;527;60 mg;un comprimé
60151124;49207;10 mg;un comprimé
60151124;72074;8,31 mg;un comprimé
60151544;5248;1000 mg;un comprimé
60151601;21139;2CH à 30CH et 4DH à 60DH;un comprimé
60151601;21139;2CH à 30CH et 4DH à 60DH;un comprimé
60151601;21139;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé
60151601;21139;2CH à 30CH et 4DH à 60DH;un comprimé
60151601;21139;2CH à 30CH et 4DH à 60DH;un comprimé
60151601;21139;2CH à 30CH et 4DH à 60DH;un comprimé
60151697;2754;200 mg;un comprimé
60151843;1068;500 mg;une ampoule de 5 ml
60152411;2202;325 mg;un comprimé
60152411;35415;32,94 mg;un comprimé
60152411;86571;37,5 mg;un comprimé
60152436;17091;720 U;0,5 ml de suspension injectable
60152607;1261;4,0 mg;une ampoule de 1,0 ml
60152607;4509;5,3 mg;une ampoule de 1,0 ml
60153239;52951;33,33 mg;1 mL de solution reconstituée
60154017;55485;0,5 mg;un comprimé
60154024;338;35 mg;un comprimé
60154309;4100;0,88 g (TM);un pot de 20 g de crème
60154743;98159;10 mg;un comprimé
60155329;2709;10 g;un sachet-dose de 15 ml
60155667;713;200 mg;10 ml
60155788;42406;25 mg;une gélule
60155788;97603;27,977 mg;une gélule
60156089;17637;50,00 mg;un comprimé
60156413;3682;20 mg;un comprimé
60156413;36746;10 mg;un comprimé
60156413;67432;15,29 mg;un comprimé
60156413;83912;9,44 mg;un comprimé
60156662;1623;5CH à 30CH et 10DH à 60DH;un comprimé
60156662;1623;5CH à 30CH et 10DH à 60DH;un comprimé
60156662;1623;5CH à 30CH et 10DH à 60DH;un comprimé
