idGroupeGenerique;codeCIS;typeGenerique
137;61162248;1
137;62171435;1
137;65537934;1
138;64577819;0
138;67102813;1
138;62996512;1
140;66077168;0
140;60982364;1
140;67900882;1
140;68133466;1
140;60349519;1
140;67939611;1
140;68217804;1
140;63836158;2
141;61722191;1
141;67061569;2
141;65203952;1
141;65333974;1
142;61780814;0
142;64812498;1
142;62716177;1
143;60929447;0
143;69484272;1
143;61853529;1
144;67662114;0
145;61155773;0
145;61771313;1
145;60366319;1
145;66415919;1
145;64557364;1
145;68289554;1
145;65183581;1
145;65158724;1
145;64489810;1
145;65843571;1
145;66626147;1
145;68447342;1
145;61796957;1
146;67140810;0
146;66773446;1
146;60375058;1
146;66008492;1
146;69584714;1
146;67989653;1
146;68116292;1
146;63622528;1
146;64516894;1
146;61850771;1
146;64921693;1
146;61690110;1
146;63769738;1
146;69227783;1
146;68104607;1
147;62607530;0
147;65857681;1
147;60453197;1
147;65275948;1
147;68461242;1
147;63415757;1
147;62918531;1
147;68481782;1
147;60402701;1
147;69857586;1
147;65902977;1
147;67131754;1
147;68881399;1
147;61633586;1
147;60083310;1
147;68112792;1
148;67707794;0
148;69335086;1
148;61600020;1
148;64338986;1
148;68695334;1
148;66082724;1
148;66916798;1
148;61377140;1
148;69118175;1
148;64011803;1
148;61552390;1
148;64529639;1
148;67459306;1
148;66836715;1
148;67410088;1
148;66046272;1
148;64236198;1
148;65171903;1
148;60424338;1
148;61096912;1
148;65460861;1
148;64727464;1
148;65009214;1
148;60987646;1
149;65264040;0
149;64192741;1
150;64539416;0
150;61794842;1
150;60151544;1
150;64882258;1
150;69166540;1
150;66511789;1
150;67385172;1
150;65146864;1
150;69489433;1
150;62457618;1
150;62846562;1
150;68607010;1
150;65253528;1
150;60101406;1
150;64395599;1
150;64470824;1
150;64672103;1
150;68088430;1
150;66748343;1
150;67406937;1
150;66628041;1
150;67587238;1
150;67847091;1
156;69978246;0
156;65168960;0
156;69266996;1
156;69033903;1
156;67222296;1
156;61462480;1
156;66335031;1
156;67835655;1
156;62027883;1
156;63435592;1
156;64882703;1
156;67448861;1
156;69715252;1
156;68144249;1
156;63771664;1
156;68380281;1
157;66853013;0
157;69238826;0
157;64550843;1
157;69776892;1
157;61634827;1
157;63398425;1
157;60428977;1
157;61817344;1
157;68204269;1
157;66156950;1
157;62826481;1
157;61350061;1
157;69021160;1
157;62949384;1
157;60196176;1
157;69661228;1
157;63223995;1
158;63565244;0
158;63260043;0
158;65541548;1
158;60099738;1
158;69256767;1
158;66921126;1
158;60403714;1
158;61777273;1
158;62705095;1
158;64200095;1
158;63750773;1
158;64460520;1
158;61043151;1
158;68229297;1
158;60516765;1
158;60928772;1
159;66053338;0
159;64571766;0
159;60685523;1
159;64636573;1
159;64176281;1
159;65247087;1
159;62820980;1
159;64725100;1
159;69839638;1
159;65786907;1
159;63524692;1
159;61246828;1
159;60998361;1
159;66929913;1
159;60556852;1
159;61198803;1
163;63424838;0
164;69634836;0
164;65694469;1
164;61477564;1
164;66147392;1
164;62818698;1
164;67186747;1
164;65399255;1
164;68209152;1
164;67005129;1
164;66169467;1
164;66892945;1
164;67104586;1
164;63992335;1
165;67642478;0
165;68297693;1
165;67783870;1
165;69166063;1
165;69433210;1
165;62655190;1
165;64017927;1
165;64731103;1
165;61664368;1
168;61926913;0
168;62375231;1
169;67480229;0
169;69386636;1
169;67617382;1
170;64484293;0
170;61760765;1
170;66752651;1
171;63575007;0
171;62481188;1
171;65128250;1
172;63871440;0
172;62069124;1
172;67793327;1
173;60945348;0
173;61535074;1
174;67126561;0
174;69211366;1
174;68300285;1
174;62791557;1
175;61476925;0
175;62676989;1
175;62445555;1
175;68437953;1
175;61454487;1
175;64018712;1
175;60617052;1
175;66151241;1
175;66803875;1
175;67616985;1
175;67011139;1
175;65440620;1
175;67389167;1
175;66127233;1
175;67828333;1
176;67162059;0
176;60235330;1
176;68805939;1
177;68732658;0
177;62113300;1
177;61901618;1
177;66732143;1
177;63841034;1
177;66271835;1
177;69448326;1
177;63009087;1
177;68329714;1
177;61493159;1
177;61164690;1
179;68744315;0
179;63608592;1
180;64121235;0
180;67891013;1
181;62936337;1
184;65802133;0
184;61572941;1
185;62458677;0
185;60424555;0
185;63659793;1
186;69325697;0
186;65393957;0
186;65250560;1
186;61042206;1
186;65165035;1
186;64026666;1
186;60526880;1
186;68402767;1
186;63086945;1
187;66484819;0
187;62461303;1
187;68270924;1
187;60151697;1
187;63286593;1
187;62038794;1
187;65376801;1
187;65021031;1
187;62485553;1
187;61932026;1
187;65080478;1
187;61768203;1
188;69206903;0
188;61695417;1
188;66662862;1
188;69093245;1
188;61456011;1
188;63652083;1
188;60010885;1
188;61161203;1
188;66182315;1
188;66754951;1
188;65152899;1
189;65636245;0
189;63431715;1
189;62751915;2
189;61230539;1
189;61695417;2
189;66063916;1
189;67706265;1
189;61378274;1
189;67984909;1
189;62061889;2
189;62445726;1
189;64988770;1
189;60010885;2
189;65101513;1
189;62450285;1
189;68637637;1
189;61479138;1
190;66823988;0
190;68747076;1
190;69687290;1
191;69005170;0
191;62866052;1
191;65616470;1
191;68557867;1
191;67291972;1
191;61574294;1
191;69563150;1
192;66179664;0
192;61502487;1
192;61472713;1
192;65763036;1
192;67230581;1
192;68142878;1
192;61912415;1
192;64161144;1
194;63206323;0
194;66332081;1
194;67860651;1
194;61026006;1
194;66902357;1
195;64080646;0
195;68528029;1
195;68134917;1
195;69903578;1
195;65429353;1
195;67866323;1
195;60560861;1
195;65694177;1
195;66015693;1
195;69940078;1
195;62504459;1
195;63909389;1
195;62160200;1
195;63870235;1
196;61173013;0
196;66490708;1
196;68551946;1
196;66984913;1
196;66318142;1
196;63505304;1
196;64053193;1
196;67127834;1
196;68182495;1
196;67193204;1
196;68125487;1
196;66355322;1
196;66628187;1
196;69295649;1
197;65826650;0
197;69204941;1
197;61527330;1
197;68998826;1
197;61958697;1
197;62378195;1
197;62321237;1
197;65880420;1
197;62033904;1
197;66407833;1
197;62451405;1
197;69668482;1
197;62156636;1
198;68670676;0
198;61683272;1
198;68888917;1
198;63299690;1
198;62485208;1
198;69175190;1
198;60418673;1
198;64264557;1
198;68560639;1
198;67720806;1
198;64855318;1
198;69180611;1
199;65391283;0
199;60111197;1
199;68131903;1
199;62970791;1
199;62945806;1
199;64776881;1
199;66086740;1
199;67260521;1
199;60964409;1
200;61961476;0
200;69203907;1
200;60859059;1
200;69424909;1
200;63625168;1
200;64828794;1
200;61789941;1
201;60328432;0
201;62147950;1
201;60230550;1
201;69392468;1
201;61003801;1
201;60745696;1
201;67099858;1
201;60940205;1
201;67631396;1
202;64713856;0
202;68553502;1
203;66288336;0
203;63479140;1
206;65215068;0
206;67419870;1
206;64497629;1
207;62431527;0
207;67411717;1
207;62504861;1
207;66584214;1
207;67436923;1
207;66544465;1
212;64874891;0
212;68659391;1
212;60288614;1
212;65523393;1
213;67633600;0
213;69052120;1
213;62096096;1
213;65592763;1
213;69482905;1
214;67214342;0
214;62290603;1
214;67785736;1
216;65182102;0
216;62408891;1
216;69721369;1
216;67492391;1
217;66785733;0
217;64684319;1
217;60550988;1
217;60129665;1
217;65205177;1
221;63738842;0
221;69488210;1
221;61990606;1
221;62047793;1
221;60947025;1
